"lat_dec","lon_dec","hour_dec","boatspeed_mph","turbidity_ntu","sp_cond_ms_cm","pH","wtemp_c","B3","B4","ndti","ndti_flag","class"
33.75435,-98.37581,9.858843,25.28363,13.79373,617.3115,8.770849,29.3886,1020,651,-0.2208259,1,"neighbors"
33.75439,-98.37571,9.859054,25.3,13.8307,617.363,8.776618,29.38932,1300,976,-0.142355,1,"neighbors"
33.75443,-98.37561,9.859264,25.3,13.86678,617.4182,8.78,29.38767,1686,1512,-0.05440901,1,"clouds"
33.75447,-98.37552,9.859473,25.3,13.89895,617.5056,8.78,29.38264,2048,1766,-0.07393812,1,"clouds"
33.7545,-98.37542,9.859682,25.3,13.92787,617.6691,8.78,29.37762,2062,1898,-0.04141414,1,"clouds"
33.75454,-98.37532,9.859896,25.3,13.97083,617.7833,8.774791,29.3725,1782,1570,-0.06324582,1,"clouds"
33.75458,-98.37522,9.86011,25.3,14.00652,617.8201,8.76705,29.37066,1402,1038,-0.1491803,1,"cirrus"
33.75462,-98.37513,9.860325,25.3,14.02246,617.7832,8.759439,29.37111,1122,759,-0.1929825,1,"cirrus"
33.75466,-98.37503,9.860542,25.3,14.00296,617.7052,8.756839,29.3685,1034,710,-0.1857798,1,"clouds"
33.75469,-98.37493,9.860753,25.3,13.96604,617.6881,8.76023,29.36358,1074,723,-0.1953255,1,"clouds"
33.75472,-98.37483,9.860968,25.3,13.93386,617.6995,8.765715,29.3641,1024,704,-0.1851852,1,"clouds"
33.75475,-98.37473,9.861185,25.27323,13.92928,617.7345,8.77,29.36801,997,708,-0.1695015,1,"clouds"
33.75478,-98.37462,9.861404,25.18914,13.97548,617.7806,8.77,29.37167,1026,674,-0.2070588,1,"clouds"
33.75481,-98.37452,9.861621,25.03276,14.07843,617.7415,8.77,29.37167,1060,758,-0.1661166,1,"clouds"
33.75483,-98.37442,9.861834,24.63758,14.15335,617.7535,8.77,29.36462,1122,1021,-0.04713019,1,"clouds"
33.75485,-98.37431,9.862047,24.2888,14.23651,617.779,8.766911,29.35877,1062,868,-0.1005181,1,"clouds"
33.75487,-98.3742,9.862261,24.04336,14.32848,617.8047,8.760015,29.3562,1192,1188,-0.001680672,1,"clouds"
33.75489,-98.3741,9.862478,23.73208,14.38425,617.8306,8.750936,29.3536,1604,1792,0.05535925,1,"clouds"
33.7549,-98.37399,9.862706,23.47818,14.35303,617.7963,8.747536,29.35087,2154,2298,0.03234501,1,"clouds"
33.75491,-98.37389,9.862936,23.28661,14.27292,617.7361,8.749502,29.34811,2530,2362,-0.03434178,1,"clouds"
33.75491,-98.37378,9.863169,23.2,14.17826,617.7,8.755058,29.34531,2968,2392,-0.1074627,1,"clouds"
33.75491,-98.37367,9.863403,23.17476,14.11079,617.7,8.76,29.34249,3256,2674,-0.09814503,1,"clouds"
33.75491,-98.37356,9.863634,23.07512,14.10054,617.7,8.76,29.33972,3916,3260,-0.09141583,1,"clouds"
33.75491,-98.37345,9.863865,22.82595,14.12269,617.7,8.76,29.33696,4540,3800,-0.08872902,1,"clouds"
33.75491,-98.37334,9.864096,22.72563,14.12872,617.7,8.76,29.33419,4948,4128,-0.09034817,1,"clouds"
33.7549,-98.37323,9.86433,22.7,14.13293,617.7,8.76,29.33138,5308,4660,-0.06500803,1,"clouds"
33.75489,-98.37313,9.864568,22.65547,14.09789,617.7,8.76,29.32852,5312,4860,-0.04443571,1,"clouds"
33.75488,-98.37302,9.864811,22.56795,14.00252,617.7267,8.76,29.3256,5372,5208,-0.01550095,1,"clouds"
33.75487,-98.37292,9.865058,22.5,13.88342,617.8076,8.76,29.32264,5524,5372,-0.01395007,1,"clouds"
33.75485,-98.37281,9.865304,22.49073,13.82621,617.9031,8.76,29.31969,5596,5248,-0.03209148,1,"clouds"
33.75483,-98.37271,9.865543,22.40479,13.82191,617.9317,8.76,29.31683,5316,5208,-0.01026226,1,"clouds"
33.75481,-98.37259,9.865781,22.4,13.84466,617.8927,8.76,29.31396,5420,5280,-0.01308411,1,"clouds"
33.7548,-98.37249,9.866018,22.4,13.81779,617.8278,8.76,29.31111,5640,5560,-0.007142857,1,"clouds"
33.75477,-98.37239,9.866259,22.4,13.74915,617.8,8.75555,29.30822,5568,5836,0.02350053,1,"clouds"
33.75475,-98.37228,9.866502,22.4,13.68093,617.8,8.746916,29.30871,5600,5888,0.02506964,1,"clouds"
33.75473,-98.37218,9.866744,22.53946,13.65484,617.8,8.73907,29.31399,6188,5832,-0.0296173,1,"clouds"
33.75471,-98.37207,9.866987,22.94622,13.68271,617.8,8.737437,29.31872,6180,5936,-0.02013866,1,"clouds"
33.75469,-98.37197,9.867229,23.20472,13.74357,617.8,8.741863,29.31139,6320,6024,-0.02397926,1,"clouds"
33.75466,-98.37186,9.86747,23.37862,13.75226,617.8,8.749109,29.30125,6496,6144,-0.0278481,1,"clouds"
33.75464,-98.37176,9.867705,23.62116,13.68207,617.8,8.75,29.29755,6500,6396,-0.008064516,1,"clouds"
33.75461,-98.37165,9.867939,23.81555,13.57579,617.8,8.75,29.29956,6608,6584,-0.001819284,1,"clouds"
33.75459,-98.37155,9.868168,23.98092,13.49509,617.8,8.75,29.30167,6744,6744,0,1,"clouds"
33.75456,-98.37145,9.868393,24.12156,13.47447,617.8,8.75,29.29915,6792,6764,-0.002065506,1,"clouds"
33.75453,-98.37135,9.868617,24.20205,13.51688,617.8,8.75,29.28993,6916,6928,0.0008668015,1,"clouds"
33.7545,-98.37125,9.868835,24.28074,13.58901,617.8,8.75,29.28731,7192,7248,0.003878116,1,"clouds"
33.75447,-98.37114,9.869054,24.3,13.62351,617.8,8.75,29.28964,7632,7616,-0.001049318,1,"clouds"
33.75444,-98.37104,9.869275,24.3,13.62264,617.8,8.75,29.29492,7872,7664,-0.01338826,1,"clouds"
33.75441,-98.37094,9.869498,24.3,13.60043,617.8,8.748386,29.29839,7872,7664,-0.01338826,1,"clouds"
33.75438,-98.37084,9.869719,24.3,13.58847,617.8,8.741742,29.29175,7904,7704,-0.01281394,1,"clouds"
33.75435,-98.37074,9.869946,24.3,13.60043,617.8,8.732253,29.28225,7672,7384,-0.01912859,1,"clouds"
33.75432,-98.37064,9.870167,24.3,13.71573,617.8,8.727993,29.27799,7504,7456,-0.003208556,1,"clouds"
33.75428,-98.37054,9.870389,24.26001,13.87199,617.8,8.728667,29.27867,7424,7108,-0.02174511,1,"clouds"
33.75424,-98.37044,9.870613,24.2,14.00556,617.8,8.733371,29.28337,7084,6840,-0.0175237,1,"clouds"
